#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
3070,John Axford,446099,9059,9059,FA,RP,RP
3071,John Beller,679882,679882,sa3014972,STL,SP,SP
3072,John Brebbia,605154,605154,12777,SF,RP,RP
3073,John Carver,687102,687102,sa3017069,ARI,SP,SP
3074,John Conley,663660,663660,sa3006857,PHI,C,C
3075,John Cresto,664222,664222,sa3006782,COL,3B,3B
3076,John Curtiss,595928,595928,16128,NYM,RP,RP
3077,John Cushing,681007,681007,sa1170342,OAK,SP,SP
3078,John Doxakis,669648,669648,sa1115967,TB,SP,SP
3079,John Dunn,686639,686639,sa3010029,WSH,3B,3B
3080,John Gant,607231,13684,13684,FA,SP,SP
3081,John Gavin,656451,656451,sa829790,SF,SP,SP
3082,John Hatch,677928,677928,sa3005233,COL,2B,2B
3083,John Heyer,679691,679691,sa3007042,FA,3B,3B
3084,John Hicks,543308,12547,12547,CHC,C,C/1B
3085,John King,667463,667463,22051,TEX,RP,RP
3086,John Lamb,543424,8493,8493,FA,SP,SP
3087,John Lannan,458709,458709,,WSH,P,P
3088,John Lindsly,686251,686251,sa3014942,WSH,C,C
3089,John Matthews,687397,687397,sa3010311,TEX,RP,RP
3090,John McMillon,669111,669111,sa3015344,KC,RP,RP
3091,John Means,607644,607644,16269,BAL,SP,SP
3092,John Mejia,683553,683553,sa3009548,FA,2B,2B
3093,John Nogowski,596056,596056,16852,ATL,1B,1B
3094,John O’Reilly,682615,682615,sa3008134,PIT,RP,RP
3095,John Parke,641949,641949,sa3003988,CHW,SP,SP
3096,John Perkins,663472,663472,sa3007713,PHI,SP,SP
3097,John Rave,670231,670231,sa918890,KC,OF,OF
3098,John Rhodes,687981,687981,sa3017162,BAL,OF,OF
3099,John Rizer,667521,667521,sa1169761,BAL,OF,OF
3100,John Rooney,680701,680701,sa3008417,LAD,SP,SP
3101,John Russell,676707,676707,sa3004771,SF,RP,RP
3102,John Ryan Murphy,571974,10346,10346,FA,C,C
3103,John Schreiber,670167,670167,20020,BOS,RP,RP
3104,John Silviano,623195,15129,sa658243,FA,C,C
3105,John Stankiewicz,694496,694496,sa3016001,MIN,SP,SP
3106,John Steiger,694929,694929,sa3014889,CIN,SS,SS
3107,John Swanda,676191,676191,sa3004944,LAA,SP,SP
3108,John Valente,681976,681976,sa3006923,DET,2B,2B
3109,John Walters,695024,695024,sa3014890,COL,SS,SS
3110,John-Daniel Osborne,667580,667580,sa3005053,MIA,C,C
3111,Johnabiell Laureano,679553,679553,sa3005787,CHW,OF,OF
3112,Johnathan Rodriguez,671286,671286,sa3004147,CLE,OF,OF
3113,Johneshwy Fargas,641561,641561,16446,CHC,OF,OF
3114,Johnfrank Salazar,692564,692564,sa3015643,BOS,SS,SS
3115,Johnny Adams,650626,650626,sa873596,FA,2B,2B
3116,Johnny Aiello,663628,663628,sa3007012,TOR,3B,3B
3117,Johnny Cueto,456501,6893,6893,CHW,SP,SP
3118,Johnny Davis,643275,643275,15830,FA,OF,OF
3119,Johnny Field,608654,15048,15048,CHC,OF,OF
3120,Jojanse Torres,666672,666672,sa3006955,HOU,RP,RP
3121,JoJo Romero,668941,668941,19574,PHI,RP,RP
3122,Jomar Reyes,655997,655997,sa830204,FA,3b,3b
