Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Michael Young,TEX,748,14,7,12.80%,6.40%,0.345,0.145,8.60%,27.00%,107,8.60%,24.60%,49.60%,82.70%,,,1286,1,1286s1
2006,Jacque Jones,CHC,578,27,9,20.10%,6.10%,0.319,0.214,25.50%,25.50%,106,13.60%,30.70%,52.60%,73.80%,,,735,1,735s1
2006,Torii Hunter,MIN,611,31,12,17.70%,7.40%,0.294,0.212,18.30%,37.50%,113,11.40%,28.20%,52.20%,78.00%,,,731,1,731s1
2006,Ramon Hernandez,BAL,560,23,1,14.10%,7.70%,0.285,0.204,14.30%,37.90%,110,6.70%,21.00%,44.70%,85.00%,,,918,1,918s1
2006,John Rodriguez,STL,212,2,0,21.20%,9.90%,0.379,0.131,4.80%,29.80%,111,13.20%,26.50%,48.00%,72.30%,,,2338,1,2338s1
2006,Ryan Zimmerman,WSN,682,20,11,17.60%,8.90%,0.326,0.184,11.40%,35.90%,112,8.20%,22.90%,42.70%,80.50%,,,4220,1,4220s1
2006,David DeJesus,KCR,552,8,6,12.70%,7.80%,0.329,0.151,6.60%,29.10%,110,4.30%,18.50%,40.70%,89.40%,,,1825,1,1825s1
2006,Emil Brown,KCR,601,15,6,15.80%,9.80%,0.319,0.171,9.00%,37.80%,110,9.60%,21.30%,47.40%,79.50%,,,1197,1,1197s1
2006,Ty Wigginton,TBD,486,24,4,20.00%,6.60%,0.301,0.223,17.00%,40.30%,112,11.80%,24.80%,50.10%,76.20%,,,1491,1,1491s1
2006,Joe Crede,CHW,586,30,0,9.90%,4.80%,0.268,0.222,12.00%,50.90%,106,8.60%,26.60%,52.30%,83.60%,,,227,1,227s1
2006,Dan Uggla,FLA,683,27,6,18.00%,7.00%,0.309,0.198,13.10%,42.20%,110,11.00%,20.60%,44.80%,75.40%,,,3442,1,3442s1
2006,Russell Branyan,- - -,282,18,2,31.60%,12.10%,0.27,0.27,22.50%,51.90%,112,17.00%,22.30%,47.30%,63.90%,,,370,1,370s1
2006,Edgar Renteria,ATL,673,14,17,13.20%,9.20%,0.324,0.144,9.10%,30.60%,108,7.10%,20.20%,44.10%,83.80%,,,1178,1,1178s1
2006,Shin-Soo Choo,- - -,179,3,5,27.90%,10.10%,0.39,0.172,14.30%,19.60%,110,14.40%,27.40%,50.70%,71.30%,,,3174,1,3174s1
2006,Delmon Young,TBD,131,3,2,18.30%,0.80%,0.37,0.159,10.70%,27.20%,110,16.00%,49.70%,68.40%,76.60%,,,2140,1,2140s1
2006,Jim Edmonds,STL,408,19,4,24.80%,13.00%,0.302,0.214,16.80%,44.50%,109,11.60%,19.20%,44.30%,73.30%,,,1153,1,1153s1
2006,Orlando Hudson,ARI,650,15,9,12.00%,9.40%,0.308,0.168,9.40%,31.90%,102,6.10%,18.70%,44.60%,86.10%,,,1307,1,1307s1
2006,Chris Shelton,DET,412,16,1,26.00%,8.30%,0.343,0.193,12.60%,47.60%,108,11.40%,22.70%,43.70%,73.80%,,,1891,1,1891s1
2006,Chris Snelling,SEA,119,3,2,31.90%,10.90%,0.375,0.177,12.50%,41.40%,111,11.40%,19.70%,38.60%,70.50%,,,1480,1,1480s1
2006,Jamey Carroll,COL,534,5,10,12.40%,10.50%,0.339,0.104,4.40%,28.50%,97,3.20%,13.70%,37.70%,91.50%,,,1591,1,1591s1
